unit_id,row,col,area_ha,land_type,slope_deg,disturbance,erosion_risk,biodiversity,human_exposure,dist_water_m,dist_settle_m,dist_source_m,rest_cost,risk_reduction,habitat_gain,water_gain,priority_score,candidate
0,0,0,428.5714,mixed_rural_land,0.501,0.1582,0.0558,0.1827,0.2077,7850.94,11963.04,25706.68,660.3298,56.6773,57.8061,19.7148,0.203229,1
1,0,1,428.5714,mixed_rural_land,0.4162,0.0,0.0528,0.1049,0.2489,8232.34,10497.91,25292.63,455.2712,29.2486,40.0903,17.6063,0.190974,1
2,0,2,428.5714,mixed_rural_land,0.2747,0.3113,0.0654,0.0514,0.2342,8710.28,9147.43,24990.19,772.0881,89.9266,27.9558,15.6279,0.172921,1
3,0,3,428.5714,mixed_rural_land,0.1619,0.043,0.042,0.1096,0.3191,9188.21,7970.1,23396.2,484.9163,41.9291,44.4219,13.1972,0.20529,1
4,0,4,428.5714,mixed_rural_land,0.2528,0.3026,0.0574,0.2364,0.3603,9666.15,7053.15,21659.06,690.9947,97.8557,77.8375,11.7628,0.271284,1
5,0,5,428.5714,mixed_rural_land,0.4141,0.2716,0.0608,0.0417,0.3232,10064.19,6507.61,19927.01,724.8591,89.1897,36.12,10.548,0.187426,1
6,0,6,428.5714,mixed_rural_land,0.5365,0.0765,0.1203,0.2717,0.3253,9799.3,6428.73,18202.15,539.2908,60.6732,95.2853,12.3079,0.312014,1
7,0,7,428.5714,mixed_rural_land,0.5907,0.2932,0.0785,0.2645,0.3672,9534.41,6832.7,16490.25,745.3495,99.7953,99.4246,12.5712,0.28415,1
8,0,8,428.5714,mixed_rural_land,0.5752,0.1273,0.1418,0.1056,0.3277,9269.51,7643.33,14795.81,568.0902,73.9105,68.804,14.7106,0.277113,1
9,0,9,428.5714,mixed_rural_land,0.5158,0.2466,0.0678,0.293,0.3292,9100.07,8748.3,13116.71,675.7426,85.9571,121.0251,14.0277,0.327062,1
10,0,10,428.5714,mixed_rural_land,0.4706,0.1463,0.1159,0.3317,0.2785,9266.69,10050.99,11464.58,612.5481,69.4695,139.4591,14.2517,0.364347,1
