source,target,shared_len_m,queen,rook
0,1,2400.0,1,1
0,28,1785.714,1,1
0,29,0.0,1,0
1,2,2400.0,1,1
1,29,1785.714,1,1
1,30,0.0,1,0
1,28,0.0,1,0
2,3,2400.0,1,1
2,30,1785.714,1,1
2,31,0.0,1,0
2,29,0.0,1,0
3,4,2400.0,1,1
3,31,1785.714,1,1
3,32,0.0,1,0
3,30,0.0,1,0
4,5,2400.0,1,1
4,32,1785.714,1,1
4,33,0.0,1,0
4,31,0.0,1,0
5,6,4800.0,1,1
5,33,1785.714,1,1
5,34,0.0,1,1
5,32,0.0,1,0
6,7,2400.0,1,1
6,34,1785.714,1,1
6,35,0.0,1,0
6,33,0.0,1,1
7,8,2400.0,1,1
7,35,1785.714,1,1
7,36,0.0,1,0
7,34,0.0,1,0
8,9,2400.0,1,1
8,36,1785.714,1,1
8,37,0.0,1,0
8,35,0.0,1,0
9,10,2400.0,1,1
9,37,1785.714,1,1
9,38,0.0,1,0
9,36,0.0,1,0
10,11,2400.0,1,1
10,38,1785.714,1,1
10,39,0.0,1,0
10,37,0.0,1,0
11,12,4800.0,1,1
11,39,1785.714,1,1
11,40,0.0,1,1
11,38,0.0,1,0
12,13,2400.0,1,1
12,40,1785.714,1,1
12,41,0.0,1,0
12,39,0.0,1,1
13,14,2400.0,1,1
13,41,1785.714,1,1
13,42,0.0,1,0
13,40,0.0,1,0
14,15,2400.0,1,1
14,42,1785.714,1,1
14,43,0.0,1,0
14,41,0.0,1,0
15,16,2400.0,1,1
15,43,1785.714,1,1
15,44,0.0,1,0
15,42,0.0,1,0
16,17,2400.0,1,1
16,44,1785.714,1,1
16,45,0.0,1,0
16,43,0.0,1,0
17,18,2400.0,1,1
17,45,1785.714,1,1
17,46,0.0,1,0
17,44,0.0,1,0
18,19,2400.0,1,1
18,46,1785.714,1,1
18,47,0.0,1,0
18,45,0.0,1,0
19,20,0.0,1,0
19,47,1785.714,1,1
19,48,0.0,1,0
19,46,0.0,1,0
20,21,2400.0,1,1
20,48,1785.714,1,1
20,49,0.0,1,0
20,47,0.0,1,0
21,22,0.0,1,0
21,49,1785.714,1,1
21,50,0.0,1,0
21,48,0.0,1,0
22,23,2400.0,1,1
22,50,1785.714,1,1
22,51,0.0,1,0
22,49,0.0,1,0
23,24,2400.0,1,1
23,51,1785.714,1,1
23,52,0.0,1,0
23,50,0.0,1,0
24,25,0.0,1,0
24,52,1785.714,1,1
24,53,0.0,1,0
24,51,0.0,1,0
25,26,2400.0,1,1
25,53,1785.714,1,1
25,54,0.0,1,0
25,52,0.0,1,0
26,27,0.0,1,0
26,54,1785.714,1,1
26,55,0.0,1,0
26,53,0.0,1,0
27,55,1785.714,1,1
27,54,0.0,1,0
28,29,2400.0,1,1
28,56,1785.714,1,1
28,57,0.0,1,0
29,30,2400.0,1,1
29,57,1785.714,1,1
29,58,0.0,1,0
29,56,0.0,1,0
30,31,2400.0,1,1
30,58,1785.714,1,1
30,59,0.0,1,0
30,57,0.0,1,0
31,32,2400.0,1,1
31,59,1785.714,1,1
31,60,0.0,1,0
31,58,0.0,1,0
32,33,2400.0,1,1
32,60,1785.714,1,1
32,61,0.0,1,0
32,59,0.0,1,0
33,34,4800.0,1,1
33,61,1785.714,1,1
33,62,0.0,1,1
33,60,0.0,1,0
34,35,2400.0,1,1
34,62,1785.714,1,1
34,63,0.0,1,0
34,61,0.0,1,1
35,36,2400.0,1,1
35,63,1785.714,1,1
35,64,0.0,1,0
35,62,0.0,1,0
36,37,2400.0,1,1
36,64,1785.714,1,1
36,65,0.0,1,0
36,63,0.0,1,0
37,38,2400.0,1,1
37,65,1785.714,1,1
37,66,0.0,1,0
37,64,0.0,1,0
38,39,2400.0,1,1
38,66,1785.714,1,1
38,67,0.0,1,0
38,65,0.0,1,0
39,40,4800.0,1,1
39,67,1785.714,1,1
39,68,0.0,1,1
39,66,0.0,1,0
40,41,2400.0,1,1
40,68,1785.714,1,1
40,69,0.0,1,0
40,67,0.0,1,1
41,42,2400.0,1,1
41,69,1785.714,1,1
41,70,0.0,1,0
41,68,0.0,1,0
42,43,2400.0,1,1
42,70,1785.714,1,1
42,71,0.0,1,0
42,69,0.0,1,0
43,44,2400.0,1,1
43,71,1785.714,1,1
43,72,0.0,1,0
43,70,0.0,1,0
44,45,2400.0,1,1
44,72,1785.714,1,1
44,73,0.0,1,0
44,71,0.0,1,0
45,46,2400.0,1,1
45,73,1785.714,1,1
45,74,0.0,1,0
45,72,0.0,1,0
46,47,2400.0,1,1
46,74,1785.714,1,1
46,75,0.0,1,0
46,73,0.0,1,0
47,48,0.0,1,0
47,75,1785.714,1,1
47,76,0.0,1,0
47,74,0.0,1,0
48,49,2400.0,1,1
48,76,1785.714,1,1
48,77,0.0,1,0
48,75,0.0,1,0
49,50,0.0,1,0
49,77,1785.714,1,1
49,78,0.0,1,0
49,76,0.0,1,0
50,51,2400.0,1,1
50,78,1785.714,1,1
50,79,0.0,1,0
50,77,0.0,1,0
51,52,2400.0,1,1
51,79,1785.714,1,1
51,80,0.0,1,0
51,78,0.0,1,0
52,53,0.0,1,0
52,80,1785.714,1,1
52,81,0.0,1,0
52,79,0.0,1,0
53,54,2400.0,1,1
53,81,1785.714,1,1
53,82,0.0,1,0
53,80,0.0,1,0
54,55,0.0,1,0
54,82,1785.714,1,1
54,83,0.0,1,0
54,81,0.0,1,0
55,83,1785.714,1,1
55,82,0.0,1,0
56,57,2400.0,1,1
56,84,1785.714,1,1
56,85,0.0,1,0
57,58,2400.0,1,1
57,85,1785.714,1,1
57,86,0.0,1,0
57,84,0.0,1,0
58,59,2400.0,1,1
58,86,1785.714,1,1
58,87,0.0,1,0
58,85,0.0,1,0
59,60,2400.0,1,1
59,87,1785.714,1,1
59,88,0.0,1,0
59,86,0.0,1,0
60,61,2400.0,1,1
60,88,1785.714,1,1
60,89,0.0,1,0
60,87,0.0,1,0
61,62,4800.0,1,1
61,89,1785.714,1,1
61,90,0.0,1,1
61,88,0.0,1,0
62,63,2400.0,1,1
62,90,1785.714,1,1
62,91,0.0,1,0
62,89,0.0,1,1
63,64,2400.0,1,1
63,91,1785.714,1,1
63,92,0.0,1,0
63,90,0.0,1,0
64,65,2400.0,1,1
64,92,1785.714,1,1
64,93,0.0,1,0
64,91,0.0,1,0
65,66,2400.0,1,1
65,93,1785.714,1,1
65,94,0.0,1,0
65,92,0.0,1,0
66,67,2400.0,1,1
66,94,1785.714,1,1
66,95,0.0,1,0
66,93,0.0,1,0
67,68,4800.0,1,1
67,95,1785.714,1,1
67,96,0.0,1,1
67,94,0.0,1,0
68,69,2400.0,1,1
68,96,1785.714,1,1
68,97,0.0,1,0
